,d,d,s,p,d_d,d_s,d_p,d_s,d_p,s_p,d_d_s,d_d_p,d_s_p,d_s_p,d_d_s_p
d,1.0,0.8088737201365188,0.7623873873873874,0.17852975495915985,0.8947368421052632,0.8933030646992054,0.9249706916764361,0.8063806380638063,0.7822838847385272,0.7430107526881721,0.8631346578366446,0.841031149301826,0.8517316017316018,0.7794117647058824,0.8250790305584826
d,0.8088737201365188,1.0,0.8315911730545877,0.15090090090090091,0.9128440366972477,0.8461538461538461,0.7633262260127932,0.9322429906542056,0.9070294784580499,0.7905701754385965,0.8784530386740331,0.8539205155746509,0.8079748163693599,0.8788546255506607,0.8377239199157007
s,0.7623873873873874,0.8315911730545877,1.0,0.19258373205741627,0.8094713656387665,0.8679458239277652,0.7459807073954984,0.8963911525029103,0.8089519650655022,0.9280575539568345,0.850828729281768,0.7830188679245284,0.8258064516129032,0.8432017543859649,0.8094736842105263
p,0.17852975495915985,0.15090090090090091,0.19258373205741627,1.0,0.16613076098606644,0.1866235167206041,0.2532088681446908,0.18021978021978022,0.24239007891770012,0.2595693779904306,0.18143459915611815,0.2296137339055794,0.234341252699784,0.23872387238723872,0.22914466737064415
d_d,0.8947368421052632,0.9128440366972477,0.8094713656387665,0.16613076098606644,1.0,0.9250275633958104,0.8435155412647374,0.9005524861878453,0.8755364806866953,0.786540483701367,0.9578713968957872,0.9352051835853131,0.8831578947368421,0.8672286617492097,0.9133192389006343
d_s,0.8933030646992054,0.8461538461538461,0.8679458239277652,0.1866235167206041,0.9250275633958104,1.0,0.8704103671706264,0.9095920617420066,0.8429319371727748,0.8417653390742734,0.9668141592920354,0.8949579831932774,0.9512459371614301,0.8759200841219769,0.9219409282700421
d_p,0.9249706916764361,0.7633262260127932,0.7459807073954984,0.2532088681446908,0.8435155412647374,0.8704103671706264,1.0,0.7882599580712788,0.8486140724946695,0.8098818474758325,0.8422712933753943,0.907725321888412,0.918918918918919,0.844700944386149,0.8905263157894737
d_s,0.8063806380638063,0.9322429906542056,0.8963911525029103,0.18021978021978022,0.9005524861878453,0.9095920617420066,0.7882599580712788,1.0,0.9054945054945055,0.849615806805708,0.9423503325942351,0.8696109358569927,0.8664563617245006,0.9403973509933775,0.8965153115100317
d_p,0.7822838847385272,0.9070294784580499,0.8089519650655022,0.24239007891770012,0.8755364806866953,0.8429319371727748,0.8486140724946695,0.9054945054945055,1.0,0.8741794310722101,0.8717139852786541,0.9398496240601504,0.889937106918239,0.9647964796479648,0.92
s_p,0.7430107526881721,0.7905701754385965,0.9280575539568345,0.2595693779904306,0.786540483701367,0.8417653390742734,0.8098818474758325,0.849615806805708,0.8741794310722101,1.0,0.8240252897787145,0.8455882352941176,0.8900862068965517,0.9087912087912088,0.8723628691983122
d_d_s,0.8631346578366446,0.8784530386740331,0.850828729281768,0.18143459915611815,0.9578713968957872,0.9668141592920354,0.8422712933753943,0.9423503325942351,0.8717139852786541,0.8240252897787145,1.0,0.9240506329113924,0.9208860759493671,0.9049630411826821,0.951271186440678
d_d_p,0.841031149301826,0.8539205155746509,0.7830188679245284,0.2296137339055794,0.9352051835853131,0.8949579831932774,0.907725321888412,0.8696109358569927,0.9398496240601504,0.8455882352941176,0.9240506329113924,1.0,0.9421661409043113,0.9263157894736842,0.9725448785638859
d_s_p,0.8517316017316018,0.8079748163693599,0.8258064516129032,0.234341252699784,0.8831578947368421,0.9512459371614301,0.918918918918919,0.8664563617245006,0.889937106918239,0.8900862068965517,0.9208860759493671,0.9421661409043113,1.0,0.9231578947368421,0.9693769799366421
d_s_p,0.7794117647058824,0.8788546255506607,0.8432017543859649,0.23872387238723872,0.8672286617492097,0.8759200841219769,0.844700944386149,0.9403973509933775,0.9647964796479648,0.9087912087912088,0.9049630411826821,0.9263157894736842,0.9231578947368421,1.0,0.9534883720930233
d_d_s_p,0.8250790305584826,0.8377239199157007,0.8094736842105263,0.22914466737064415,0.9133192389006343,0.9219409282700421,0.8905263157894737,0.8965153115100317,0.92,0.8723628691983122,0.951271186440678,0.9725448785638859,0.9693769799366421,0.9534883720930233,1.0
